full_text,english_tweet,label,klasifikasi Bayes
gimana guys suka sama koreografi music video waktu bukti by,how do you guys like the music choreography of the proof time video by,Netral,Klasifikasi Bayes
aboorijal bakery toko roti fiktif film animasi indonesia jumbo latar kampung seruni nama aboorijal plesetan lucu kata original sering pakai komedi indonesia tiru ucap salah dengar mewah,aboorijal bakery fictitious bakery Indonesian animated film jumbo seruni village background aboorijal name funny pun original word often use indonesian comedy imitate say fancy misheard,Positif,
wts promo tiket bg cepol semua film harga tiket k tiket cgv diskon ktiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok batas zonauang,wts ticket promo bg cepol all movies ticket prices k ticket cgv discount ticketing promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back super economical family stock limit zonauang,Positif,
tau ajakin kakak ku ajkin bayar mungkin kita biarin anak tahun kaya bayar sendiri makanya tidak pernah minta itu sekarang nyesel film jumbo tidak tayang dia nonton fyi saya tidak pernah nonton film ga,tau ajakin my sister ajkin pay maybe we biarin anak tahun kaya pay alone that's why never ask for it now nyesel film jumbo not airing he watched fyi i never watched the movie ga,Netral,
film jumbo tidak pikir buat ngajakin adik emang bukan tipe orang maksain mau nonton dia beberapa kali ngode itu sering bilang jumbo si apa tidak pernah minta buat nonton kondisi keluarga sekarang emang baik ekonomi dia,"jumbo movies don't think for me, my sister is not the type of person who wants to watch her a few times coding it often says what jumbo never asked to watch the family's condition now is good for the economy",Positif,
eps pt day sedikit sedikit engkau teman baik treasure mau nyanyi brng prince poetiray alas ponakan di kalimantan suka banget sm film jumbo hadiah buat karena bln ultah pasbuatkamu allobankfestival,eps pt day a little bit you're a good friend treasure want to sing brng prince poetiray alas nephew in kalimantan like really sm movie jumbo gift for because bln birthday pasbuatkamu allobankfestival,Positif,
wts promo voucher nonton cepol beli gratis bg minat wa zonauang film how to train your dragon gjls ibu ibu ibu keluarga super irit da evil eye tak usai sini mission impossible ballerina waktu maghrib tenung jumbo gjls ibu ibuibu review,wts promo voucher watch cepol buy free bg interest wa zonauang film how to train your dragon gjls mother mother family super irit da evil eye no end here mission impossible ballerina maghrib time staring jumbo gjls mother mother review,Negatif,
min adain film jumbo netflix mau rewatch x,min adain film jumbo netflix mau rewatch x,Netral,
bangga jadi bagi juta lebih tonton klo dlu core memory mamak film tualang sherina sekarang core memory anak film jumbo ost ny hapal film tayang im sooooo happy,proud to be for millions more watching klo dlu core memory mamak film tualang sherina now core memory anak film jumbo ost ny memor film screening im sooooo happy,Positif,
awal jumbo ribu masih baru beda gjls famous makanya launching langsung joss jumbo jadi film lebaran alternatif kompetitor horror selingkuh dapat jt minggu pertama,the beginning of the thousand jumbo is still just different from the famous gjls so that the direct launch of joss jumbo becomes an alternative Eid film for horror competitors cheating can be the first week,Positif,
hari jumat film jumbo keluar bioskop java supermall ada bioskop semarang kofindo,friday jumbo movie out of java supermall cinema there is a cinema semarang kofindo,Netral,
hari jadwal putar film jumbo jumat mangkang citra,day of jumbo movie screening schedule friday mangkang image,Netral,
turut senang film jumbo sukses tapi maaf sekali bang ryan hidup yang ngalor ngidul tidak sempat diri buat nonton,also happy that the jumbo movie was successful but I'm so sorry that bang ryan live that ngalor ngidul didn't have time to watch,Positif,
beda biar gjls ibu ibu ibu jalan sendiri malu semua misal film ngalahin jumbo film baik nomor satu indonesia panjang masa ada warga indonesia bully warga negara goblok,different let gjls mother mother walk alone embarrassed all eg film ngalahin jumbo film baik number one indonesia length of time there are Indonesian citizens bully stupid citizens,Negatif,
harus tara jumbo lah bang tonton ingat film gjls kan jumbo nya,must be tara jumbo is bang watch remember the movie gjls right jumbo,Positif,
another tweet about gjls and jumbo baru sadar semester saya dan cuma nonton film indo sangat sangat magis beda satu magis sihir peri dongeng masa kecil satu magis macem sihir dukun santet,another tweet about gjls and jumbo just realized my semester and just watched indo movie is very very magical different one magic magic fairy fairy fairy childhood one magic macem witch witch witch witch santet,Positif,
hahahahah kasi banget tonton indonesia diusahain dipinterin lalu jumbo lalu kemudian dibalikin jadi goblok sama gjls bocorin gimana cara yakin investor ide film ginian plissssss pikir kuyup yang paling goblok gjls,hahahah kasi really watch indonesia diusahain dipinterin then jumbo and then turned around to be the same idiot gjls leakin how to be sure investors ginian plissssss film idea think soaking the most stupid gjls,Negatif,
pak gen nonton bella terra tadi satu bioskop ketawa ngakak lucu goblokk bangettt makasih udsh buat film sehahwkwkwkwk capek kerja hari langsung neng lagi nontonnya moga berkah buat jumbo gjls,"mr. Gen watched Bella Terra earlier, one movie theater laughed, not funny, really stupid, thank you, udsh, for the film, sehahwkwkwkwk, tired of working day straight away, watching it again, may God bless you for jumbo gjls",Negatif,
besok mau nonton film jumbo bioskop pertama kali ambivert suka ramai juga suka sunyi jadi nonton filmjumbo sekarang rasa pas tidak ramai alhamdulillah tayang jogja,tomorrow i want to watch jumbo movie cinema for the first time ambivert likes to be crowded also likes to be quiet so watching jumbo movie now it feels right not to be crowded alhamdulillah airing jogja,Positif,
film favorit fast and furious tokyo drift jumbo nah baru pas klo gin lancer evo laju,favorite movies fast and furious tokyo drift jumbo well new fit klo gin lancer evo fast,Positif,
hehehe tmi trainee juga jadi pimpin loh terima kasih kakak puji jadi malu deh karena kakak cantik jadi kakak nonton film jumbo,hehehe tmi trainee also so pimpin loh thank you brother praise so ashamed because you are beautiful so you watch jumbo movies,Positif,
u guys at the top congrats n enjoy kira kalian tahan berapa lama ayo film indonesia nya siap film baru buat menggoncang rahta jumbo semangat sineas indonesia,u guys at the top congrats n enjoy think you guys last how long let's go the Indonesian film is ready for a new film to shake the rahta jumbo spirit of Indonesian filmmakers,Positif,
mas hip tonton film gjls berapa juta ngelewatin jumbo,mas hip watch gjls movie how many million ngelewatin jumbo,Positif,
saras yudhis ingin kubur duka jenazah sang ayah justru bangkit jalan apa benar selesai inspirasi kisah nyata podcast lentera malam filmselepastahlil tayang juli bioskop lenteramalam,saras yudhis wants to bury the corpse of the father instead of rising up the way what is true finished inspiration true story podcast lantern night filmselepastahlil aired july cinema lenteramalam,Positif,
pecah rekor film jumbo tonton juta pilih anies,record breaking jumbo movie watch million select anies,Netral,
aight bruh i got it the moment air dingin hits kaki all problems just vanished lucu banget u seperti nurman film jumbo suka banget nyatetnyatet yess indah samsat sore hari,aight bruh i got it the moment cold water hits the feet all problems just vanished really cute u like nurman jumbo movie like really nyatetnyatet yess beautiful samsat afternoon,Positif,
apa judul film,Movie title,Netral,
sedihh belum sempat nonton film tapi ku ucap selamat salut jumbo seluruh tim tonton supporter film moga selalu sukses depan terus karya,sadh haven't had time to watch the movie but I congratulate jumbo all the team watching the film supporter moga always success ahead of the work,Positif,
bang ryan semua kawankawan balik layar jumbo terimakasih sejumbojumbonya sudah bikin film hangat sepenuh cinta ditunggutunggu karyakarya selanjutnyaaaa,bang ryan all friends behind the scenes jumbo thank you sejumbojumbonya has made a warm movie full of love waiting for the next karyakaryaaaa,Positif,
signing outt masih tayang kok bioskop showtime tipiss jadi akun bibo cinepoint henti tracking performancenyaa,signing outt still airs how come the cinema showtime tipiss so bibo cinepoint account stop tracking performance,Netral,
diagram wakil rasa jadi buzzerjumbo campur aduk banget senang haru bangga pokok sayang banget sama jumbo kalian bukan cuma tonton bagi jalan film tanpa kalian film jumbo akan besar terima kasih yaa temanteman,the diagram of the vice of taste so buzzerjumbo is mixed up very happy to be proud of the tree dear to jumbo you are not just watching for the movie road without you jumbo movies will be great thank you friend,Positif,
film baru kamis tayang gaza senyum manies love story the dark house keluarga super irit gjls ibu ibuibu gowok kamasutra jawa uncut tak usai sini tenung by risa saraswati amp dimasta waktu maghrib jumbo gtgt,thursday's new movie aired gaza smile manies love story the dark house family super irit gjls mother mother gowok kamasutra Java uncut not finished here divining by risa saraswati amp dimasta Maghrib time jumbo gtgt,Positif,
tonton gjls hari pertama di atas jumbo hari pertama fix film nomer indonesia locked,watch gjls the first day on top of jumbo the first day fix film number indonesia locked,Positif,
hari jadwal putar film jumbo kamis mangkang tinggal,the day of the jumbo movie screening schedule Thursday mangkang stayed,Netral,
siang all promo nonton bioskop cepol bg bogo bigi ready banyak untuk film final destination bring her back mission impossible lilo amp stitch karate kid legends waktu magrib gundik jumbo ballerina tenung by risa halabala gowok zonauang,noon all promo watch cinema cepol bg bogo bigi ready lot for film final destination bring her back mission impossible lilo amp stitch karate kid legends magrib time concubine jumbo ballerina divination by risa halabala gowok zonauang,Negatif,
contoh apa film bagus jumbo rijal istilah rijal dipake bibo bukan dar kurang laku dari awal ornya rendah bgt,an example of what a good movie is jumbo rijal the term rijal is used bibo not from the lack of sales from the beginning or it is low bgt,Positif,
maaf film jumbo kapan tayang platform online adik anak luar biasa mau nonton jumbo sudah turun layar kemarin mau nonton takut anak ganggu tonton,"sorry for the jumbo movie when it aired the online platform, my child is amazing, he wants to watch jumbo has gone down the screen yesterday, he wants to watch afraid of children disturbing him",Negatif,
ada terlalu ngejagoin sih ya film tahun baru jumbo doang emng luar espektasi,"there is too ngejagoin anyway, jumbo doang emng film out of expectation",Netral,
ikut jadi satu juta tonton film jumbo bioskop cetak sejarah film indonesia fenomena traktir nonton jumbo fakta kalau bicara isi film fix jatuh cinta karakter nurman embek milik engkong,participate become one million watch jumbo film cinema print Indonesian film history phenomenon traktir watch jumbo fact if you talk about the content of the film fix falling in love nurman embek character belongs to the ankle,Positif,
hari kamis film jumbo keluar bioskop setiabudi,thursday the jumbo movie came out of the setiabudi cinema,Netral,
hari jadwal putar film jumbo kamis mangkang java citra,day jumbo movie screening schedule Thursday mangkang java imagery,Netral,
banyak film indo bagus rilis jumbo loh semua rijal selamet lagi film hororr,many good indo films release jumbo loh all rijal selamet again hororr film,Positif,
orang tidak suka romansa jujur saya nyaman betah nonton filmfilm banyak tinggal rasa manis hangat beberapa asa getir inti semua kesan,people don't like romance honestly I'm comfortable at home watching movies a lot of warm sweetness some bitter despair at the core of all impressions,Positif,
jangan lupa ibox ngantri film jumbo jt film daerah wisata macet tiap weekend,don't forget ibox ngantri film jumbo jt film tourist area jammed every weekend,Negatif,
jumbo salah satu film akan selalu bekas hati,jumbo one of the movies will always be a heart,Netral,
terimakasih jumbo beri tayang moment seru especially lama lebaran kamu anakanak punya film indonesia akan kenang,"thank you, Jumbo, for showing the exciting moments, especially the long time of Eid, your children have Indonesian films to remember.",Positif,
anjir suka banget lagu film jumbo,anjir really likes jumbo movie songs,Positif,
penting kalah film produksi ph hina jumbo tak etis judul film,it is important to lose the film production ph hina jumbo unethical film title,Positif,
target gjls kalah film ranking buat ph menjelekin jumbo,gjls target loses ranking film for jumbo ugliness ph,Negatif,
hype belum tayang terus ngikutin awal tayang sampe sekarang juta bangga sekaligus haru sih saksi film animasi indonesia pertama langsung puncak daftar film indonesia laris panjang masa proud jumbo,hype has not been aired directly following the beginning of the broadcast until now million proud as well as the witness of the first Indonesian animated film directly topped the list of Indonesian films selling long time proud jumbo,Positif,
